"","lykke","utdanning","skala10"
"353",7,13,4
"354",8,13,4
"355",10,13,3
"356",10,11,10
"357",10,11,4
"358",7,13,4
"359",7,10,3
"360",8,13,4
"361",10,9,4
"362",9,10,4
"363",4,13,3
"364",8,8,8
"365",9,13,6
"366",7,11,6
"367",8,12,2
"368",10,3,9
"369",7,5,9
"370",7,12,4
"371",8,13,4
"372",9,11,3
"373",3,9,9
"374",7,10,9
"375",8,13,4
"376",9,10,4
"377",6,5,9
"378",2,3,7
"379",7,10,5
"380",9,10,4
"381",8,3,9
"382",8,13,3
"383",9,5,9
"384",8,9,6
"385",7,5,10
"386",10,12,9
"387",9,9,6
"388",10,3,8
"389",4,5,9
"390",9,10,4
"391",10,5,NA
"392",9,13,3
"393",8,9,4
"394",9,13,4
"395",8,6,10
"396",8,6,4
"397",7,10,2
"398",8,NA,9
"399",8,12,6
"400",8,3,2
"401",10,10,9
"402",8,10,4
"403",8,6,9
"404",8,10,4
"405",7,5,9
"406",7,13,4
"407",10,13,4
"408",9,12,3
"409",10,10,4
"410",8,12,4
"411",8,9,4
"412",9,5,9
"413",9,7,4
"414",8,5,NA
"415",10,8,1
"416",8,3,10
"417",7,13,1
"418",8,3,10
"419",5,3,9
"420",8,13,1
"421",8,11,9
"422",7,4,9
"423",8,10,4
"424",7,5,9
"425",10,3,9
"426",5,5,10
"427",5,3,9
"428",7,10,3
"429",9,8,8
"430",5,6,9
"431",8,10,7
"432",6,3,NA
"433",9,11,1
"434",9,13,2
"435",6,5,9
"436",8,3,1
"437",7,6,2
"438",5,3,9
"439",8,6,2
"440",9,5,1
"441",10,10,6
"442",9,5,9
"443",8,13,7
"444",0,5,2
"445",5,5,9
"446",6,11,6
"447",9,6,9
"448",10,3,2
"449",9,3,9
"450",6,8,10
"451",8,7,9
"452",9,3,10
"453",8,12,4
"454",4,3,9
"455",8,5,1
"456",8,5,2
"457",8,6,10
"458",9,5,6
"459",10,9,9
"460",8,11,4
"461",8,5,9
"462",8,2,NA
"463",9,6,2
"464",9,6,6
"465",10,8,10
"466",5,7,7
"467",10,6,9
"468",9,13,4
"469",8,6,9
"470",7,10,3
"471",7,10,9
"472",7,6,6
"473",8,9,10
"474",9,5,9
"475",9,9,10
"476",9,6,9
"477",8,9,1
"478",8,12,4
"479",8,10,2
"480",8,6,10
"481",8,6,10
"482",9,5,4
"483",3,6,9
"484",8,6,9
"485",8,2,10
"486",9,6,10
"487",10,6,10
"488",9,6,10
"489",6,6,6
"490",6,10,4
"491",5,9,9
"492",9,11,1
"493",9,8,7
"494",5,10,3
"495",9,3,NA
"496",9,9,3
"497",8,5,NA
"498",10,8,3
"499",6,3,10
"500",7,6,9
