"","X","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged"
"1",34,"ARG",2,1.7003,0.0182389,0.656556,5637,0.31,2.75,0,0,4.28125,24.82476
"2",35,"ARG",3,1.077615,0.0171555,-0.5792648,6168,0.31,9.75,0,0,4.28125,28.793039
"3",36,"ARG",4,-1.115285,0.0239942,-0.1356454,5849,0.31,1,0,0,4.28125,30.23452
"4",37,"ARG",5,-2.5513849,0.029963,-1.348296,5487,0.31,0,0,0,4.28125,29.739771
"5",38,"ARG",6,-1.099306,0.0157275,-1.0904191,5624,0.31,0.25,0,0,4.28125,20.330549
"6",39,"ARG",7,4.2587299,0.000756,1.294504,4706,0.31,0,0,0,4.28125,21.722401
"7",154,"BOL",2,1.29729,0.8619137,3.0712869,1661,0.68,0.75,0,0,2.270833,15.16255
"8",155,"BOL",3,2.9630489,0.8665824,2.84027,1838,0.68,0,0,0,2.270833,15.7813
"9",156,"BOL",4,-1.485289,1.182405,1.59246,2015,0.68,0.25,0,0,2.270833,15.8541
"10",157,"BOL",5,-4.3150082,1.4394799,-4.5035219,1864,0.68,0,0,0,2.270833,19.03047
"11",158,"BOL",6,-0.6470255,3.107549,2.7949729,1674,0.68,0,0,0,2.270833,18.197399
"12",159,"BOL",7,1.949474,3.3419769,3.1369851,1658,0.68,0.25,0,0,2.270833,14.90573
"13",162,"BRA",2,8.5805321,0.0687522,1.028062,2434,0.07,0,0,0,6.359375,18.439501
"14",163,"BRA",3,4.5406151,0.0290183,0.8499444,3458,0.07,0,0,0,6.359375,19.11652
"15",164,"BRA",4,1.21549,0.0158463,0.4292799,3886,0.07,0,0,0,6.359375,15.96847
"16",165,"BRA",5,0.3463339,0.0134887,-0.4519173,3968,0.07,0,0,0,6.359375,13.25914
"17",166,"BRA",6,1.676592,0.0085394,-2.0602369,4294,0.07,0.25,0,0,6.359375,11.59921
"18",167,"BRA",7,-2.048629,0.0227111,-1.0457129,4042,0.07,1.5,0,0,6.359375,33.728611
"19",194,"BWA",2,13.89921,10.3594999,NA,823,0.51,0,1,0,7,NA
"20",195,"BWA",3,6.1065969,6.025146,0.9333794,1362,0.51,0,1,0,7,NA
"21",196,"BWA",4,8.7876225,6.3613768,2.725641,1620,0.51,0,1,0,7,29.818359
"22",197,"BWA",5,6.4109421,4.5614409,4.0407348,1980,0.51,0,1,0,7,30.254919
"23",198,"BWA",6,7.249001,4.4411702,4.5245118,2662,0.51,0,1,0,7,27.93161
"24",199,"BWA",7,1.914598,3.367358,4.0642381,NA,0.51,0,1,0,7,31.578421
"25",210,"CHL",2,-0.467211,0.247531,-0.1285068,3605,0.14,1,0,0,6.325521,14.20367
"26",211,"CHL",3,-1.160746,0.2444455,0.4719891,3561,0.14,0.75,0,0,6.325521,24.687229
"27",212,"CHL",4,5.4852219,0.127625,3.265554,3419,0.14,0.75,0,0,6.325521,16.978729
"28",213,"CHL",5,-1.694357,0.1156799,3.008533,3460,0.14,0.5,0,0,6.325521,24.449511
"29",214,"CHL",6,5.3630772,0.0408912,3.2251229,3572,0.14,0.5,0,0,6.325521,38.739021
"30",215,"CHL",7,5.0003238,0.1588434,3.3035769,4338,0.14,2.25,0,0,6.325521,39.179821
"31",226,"CIV",2,3.7496209,1.364204,NA,1615,0.86,0,1,0,6.699405,22.34783
"32",227,"CIV",3,4.3600249,0.9750726,NA,1721,0.86,0,1,0,6.699405,26.15682
"33",228,"CIV",4,-2.5903289,0.8453047,0.436713,2237,0.86,0,1,0,6.699405,30.92638
"34",229,"CIV",5,-4.2013841,0.6525484,NA,1697,0.86,0,1,0,6.699405,29.17765
"35",230,"CIV",6,-4.0609722,1.222446,NA,1558,0.86,0,1,0,6.699405,27.67774
"36",231,"CIV",7,-4.5978689,2.5175891,NA,1213,0.86,0,1,0,6.699405,30.221781
"37",234,"CMR",2,1.01583,2.626497,NA,804,0.89,0,1,0,5.65625,15.82271
"38",235,"CMR",3,4.2240901,2.5106111,0.988016,902,0.89,0,1,0,5.65625,16.42411
"39",236,"CMR",4,11.10744,2.035233,1.154126,972,0.89,0,1,0,5.65625,20.42317
"40",237,"CMR",5,1.370685,1.202529,1.0739959,1281,0.89,0,1,0,5.65625,22.8529
"41",238,"CMR",6,-4.1992569,1.424505,0.9909911,1499,0.89,0,1,0,5.65625,22.89332
"42",239,"CMR",7,-8.2937479,2.2052,1.554929,1226,0.89,0,1,0,5.65625,19.79361
"43",258,"COL",2,4.2831068,0.3283384,0.9903296,2140,0.06,0,0,0,5.296875,18.844431
"44",259,"COL",3,1.920418,0.1345313,0.9680691,2511,0.06,0.75,0,0,5.296875,19.73999
"45",260,"COL",4,2.667155,0.0837201,0.8926046,2797,0.06,1.25,0,0,5.296875,19.63488
"46",261,"COL",5,0.0419509,0.0775605,0.7376797,2943,0.06,0.5,0,0,5.296875,20.1506
"47",262,"COL",6,2.3619781,0.0388409,3.0520999,3046,0.06,3.25,0,0,5.296875,20.89764
"48",263,"COL",7,1.485389,0.0698742,3.166225,3300,0.06,5,0,0,5.296875,19.83297
"49",282,"CRI",2,4.598011,0.5155604,0.9623636,2904,0.07,0,0,0,5.471354,21.031481
"50",283,"CRI",3,2.494488,0.3238541,0.9430766,3329,0.07,0,0,0,5.471354,24.32032
"51",284,"CRI",4,-0.6369497,0.4544604,0.6814356,3765,0.07,0,0,0,5.471354,30.008881
"52",285,"CRI",5,-1.9351,2.035965,0.7828673,3077,0.07,0,0,0,5.471354,44.44577
"53",286,"CRI",6,1.959735,1.789902,3.058656,3273,0.07,0,0,0,5.471354,41.050411
"54",287,"CRI",7,2.6018901,0.9984065,3.1200271,3499,0.07,0,0,0,5.471354,39.75853
"55",330,"DOM",2,9.5358124,0.6088132,1.124981,1536,0.04,0.25,0,0,4.515625,15.83432
"56",331,"DOM",3,2.8581259,0.3210371,1.1237791,2079,0.04,0,0,0,4.515625,20.31345
"57",332,"DOM",4,1.749666,0.5828206,0.9725283,2092,0.04,0,0,0,4.515625,23.201361
"58",333,"DOM",5,-1.2920769,1.037454,0.9116656,2256,0.04,0,0,0,4.515625,19.719481
"59",334,"DOM",6,3.539212,0.6109455,0.9433865,2160,0.04,0,0,0,4.515625,17.577209
"60",335,"DOM",7,-0.413998,0.4405444,0.9846804,2166,0.04,0,0,0,4.515625,23.41629
"61",338,"DZA",2,2.386265,1.032286,0.7452368,1826,0.43,0,0,0,4.364583,49.102669
"62",339,"DZA",3,3.2366841,0.5008871,1.413676,2256,0.43,0,0,0,4.364583,61.462471
"63",340,"DZA",4,1.8193769,0.2997423,NA,2591,0.43,0,0,0,4.364583,54.900951
"64",341,"DZA",5,2.619137,0.1466725,NA,2823,0.43,0,0,0,4.364583,60.266769
"65",342,"DZA",6,-1.846692,0.179638,NA,2970,0.43,0,0,0,4.364583,71.996803
"66",343,"DZA",7,-3.0764711,0.230067,NA,2777,0.43,1.25,0,0,4.364583,82.306442
"67",346,"ECU",2,10.3143301,0.3640414,3.1408429,1789,0.53,0,0,0,5.416667,18.971531
"68",347,"ECU",3,3.6733351,0.266855,3.13921,2498,0.53,0,0,0,5.416667,22.69136
"69",348,"ECU",4,2.326406,0.1861308,3.127589,3077,0.53,0,0,0,5.416667,22.643379
"70",349,"ECU",5,-0.8804302,0.2968566,1.345718,3193,0.53,0,0,0,5.416667,22.757339
"71",350,"ECU",6,-0.7227359,0.3715129,0.7108745,2885,0.53,0,0,0,5.416667,22.45019
"72",351,"ECU",7,1.057124,0.4543489,2.467953,2755,0.53,0,0,0,5.416667,20.319599
"73",354,"EGY",2,2.3666029,1.6644599,NA,1163,0.04,0,0,0,4.348958,36.817249
"74",355,"EGY",3,7.863193,4.066195,-0.1068098,1175,0.04,0.25,0,0,4.348958,36.99165
"75",356,"EGY",4,5.0128808,1.834349,0.3208535,1465,0.04,0,0,0,4.348958,49.034691
"76",357,"EGY",5,5.5104132,1.7236561,0.2492841,1732,0.04,0,0,0,4.348958,63.557259
"77",358,"EGY",6,1.08249,1.386881,0.4539143,1927,0.04,0,0,0,4.348958,83.637077
"78",359,"EGY",7,-0.6464122,2.9465799,0.9035281,1912,0.04,1.25,0,0,4.348958,86.580147
"79",378,"ETH",2,NA,1.062878,NA,296,0.69,0,1,0,4.416667,13.84413
"80",379,"ETH",3,NA,1.611955,NA,300,0.69,2.25,1,0,4.416667,15.92865
"81",380,"ETH",4,NA,1.846928,0.929665,315,0.69,0.75,1,0,4.416667,22.63102
"82",381,"ETH",5,-12.2038603,3.167897,0.7159156,322,0.69,0,1,0,4.416667,26.453409
"83",382,"ETH",6,2.731317,4.3228149,0.9130801,312,0.69,0,1,0,4.416667,26.80909
"84",383,"ETH",7,-0.8031871,5.3183789,0.5250551,NA,0.69,0,1,0,4.416667,32.605518
"85",402,"GAB",2,6.0282741,3.3934021,0.4694497,3704,0.69,0,1,0,5.375521,15.2697
"86",403,"GAB",3,12.2700396,1.3425421,0.2619957,5030,0.69,0,1,0,5.375521,16.33683
"87",404,"GAB",4,-9.5358829,1.220373,1.2900389,5408,0.69,0,1,0,5.375521,16.313219
"88",405,"GAB",5,-0.0405246,1.8434941,1.177301,4226,0.69,0,1,0,5.375521,18.482849
"89",406,"GAB",6,-1.900159,1.780682,0.9427492,4030,0.69,0,1,0,5.375521,18.31319
"90",407,"GAB",7,0.7420641,1.8710001,1.344708,3958,0.69,0,1,0,5.375521,21.063459
"91",418,"GHA",2,1.128342,1.067504,0.8576345,1059,0.71,0,1,0,3.695313,20.529181
"92",419,"GHA",3,-4.454855,0.9828767,0.1458671,1091,0.71,0,1,0,3.695313,21.06576
"93",420,"GHA",4,-0.8954403,1.300933,0.0754337,1027,0.71,0,1,0,3.695313,26.050249
"94",421,"GHA",5,-3.0525,1.561625,1.10525,795,0.71,0,1,0,3.695313,20.163561
"95",422,"GHA",6,1.790827,3.660423,3.0957329,807,0.71,0,1,0,3.695313,13.47542
"96",423,"GHA",7,1.03614,2.9498079,3.0588901,902,0.71,0,1,0,3.695313,14.8458
"97",442,"GMB",2,-0.1897431,2.1464369,1.126354,722,0.73,0,1,0,5.625,21.79365
"98",443,"GMB",3,3.86113,3.224483,0.8264822,881,0.73,0,1,0,5.625,26.853121
"99",444,"GMB",4,-0.7028198,7.0985351,0.595847,1179,0.73,0,1,0,5.625,22.68784
"100",445,"GMB",5,0.4907541,7.8964672,0.6389125,872,0.73,0,1,0,5.625,22.63336
"101",474,"GTM",2,3.3924861,0.2987463,1.125383,2028,0.64,3.25,0,0,2.841146,17.546431
"102",475,"GTM",3,2.923883,0.3258652,1.026605,2260,0.64,0.25,0,0,2.841146,20.655479
"103",476,"GTM",4,0.674657,0.3346257,0.8984531,2576,0.64,11.5,0,0,2.841146,22.54999
"104",477,"GTM",5,-4.3911209,0.3948421,0.9770913,2349,0.64,1.75,0,0,2.841146,22.33733
"105",478,"GTM",6,-0.0557811,0.8908902,2.012615,2037,0.64,0,0,0,2.841146,25.70904
"106",479,"GTM",7,0.9107409,0.7212088,3.114068,2127,0.64,4.75,0,0,2.841146,24.200649
"107",482,"GUY",2,0.7963295,1.334105,0.6529607,1816,0.58,0,0,0,2.841146,29.24869
"108",483,"GUY",3,2.9822781,1.046527,0.3112545,1935,0.58,0,0,0,2.841146,35.089691
"109",484,"GUY",4,-0.9429719,2.9341111,-0.5489305,1873,0.58,1,0,0,2.841146,40.224419
"110",485,"GUY",5,-6.6484179,2.754137,-2.2167611,1529,0.58,0.25,0,0,2.841146,52.889839
"111",486,"GUY",6,-2.3932619,2.4438989,-0.2820047,1401,0.58,0,0,0,2.841146,92.971481
"112",498,"HND",2,2.221513,0.7214855,1.067969,1237,0.16,0,0,0,3.393229,16.365219
"113",499,"HND",3,2.2338271,1.057387,1.102963,1266,0.16,0,0,0,3.393229,21.448799
