"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged","region"
"110","GUY",5,-6.6484179,2.754137,-2.2167611,1529,0.58,0.25,0,0,2.841146,52.889839,"Other"
"111","GUY",6,-2.3932619,2.4438989,-0.2820047,1401,0.58,0,0,0,2.841146,92.971481,"Other"
"112","HND",2,2.221513,0.7214855,1.067969,1237,0.16,0,0,0,3.393229,16.365219,"Other"
"113","HND",3,2.2338271,1.057387,1.102963,1266,0.16,0,0,0,3.393229,21.448799,"Other"
"114","HND",4,1.029892,1.433085,0.9950003,1533,0.16,0,0,0,3.393229,23.29611,"Other"
"115","HND",5,-1.690969,3.3021309,0.5840453,1439,0.16,0.25,0,0,3.393229,23.168261,"Other"
"116","HND",6,0.7361481,3.223475,0.9271817,1381,0.16,0.25,0,0,3.393229,26.925541,"Other"
"117","HND",7,0.685772,3.3950009,2.6119871,1377,0.16,3.25,0,0,3.393229,29.84313,"Other"
"118","HTI",2,0.8736246,0.479089,1.150183,834,0.01,0,0,0,2.578646,10.19755,"Other"
"119","HTI",3,1.425254,1.430759,1.029469,883,0.01,0.25,0,0,2.578646,14.24904,"Other"
"120","HTI",4,2.34396,1.636374,0.8614917,943,0.01,0,0,0,2.578646,22.536421,"Other"
"121","HTI",5,-2.3858969,2.282593,0.871056,933,0.01,0,0,0,2.578646,28.783131,"Other"
"122","HTI",6,-1.772912,3.0255699,1.151348,902,0.01,0.25,0,0,2.578646,30.790279,"Other"
"123","HTI",7,-7.490983,2.2884209,0.7622148,NA,0.01,1.75,0,0,2.578646,35.98473,"Other"
"124","IDN",2,4.573699,0.7943888,3.092134,715,0.76,0,0,1,3.666667,7.235307,"East Asia"
"125","IDN",3,4.9217539,0.4667856,2.962908,892,0.76,0,0,1,3.666667,12.79889,"East Asia"
"126","IDN",4,5.8263001,0.2930794,3.091598,1124,0.76,0,0,1,3.666667,15.6983,"East Asia"
"127","IDN",5,3.2271061,0.2482695,3.245913,1487,0.76,0,0,1,3.666667,16.67067,"East Asia"
"128","IDN",6,4.76686,0.2605772,3.1779821,1687,0.76,0,0,1,3.666667,20.11838,"East Asia"
"129","IDN",7,6.1029401,0.2898518,3.336103,1974,0.76,0,0,1,3.666667,29.667431,"East Asia"
"130","IND",2,0.0997274,0.3459758,0.9405624,802,0.89,0.5,0,0,5.760417,21.63537,"Other"
"131","IND",3,2.5127439,0.3692294,0.9038061,765,0.89,0.5,0,0,5.760417,25.262461,"Other"
"132","IND",4,1.1642129,0.2875184,0.7846346,882,0.89,0.25,0,0,5.760417,28.309059,"Other"
"133","IND",5,2.9019239,0.2314055,0.677059,936,0.89,2.75,0,0,5.760417,37.10878,"Other"
"134","IND",6,4.2667198,0.171018,0.5907155,1092,0.89,1,0,0,5.760417,40.73555,"Other"
"135","IND",7,1.459209,0.1506343,0.67939,1264,0.89,1.25,0,0,5.760417,45.98037,"Other"
"136","JAM",2,4.5908251,0.5035225,NA,2645,0.05,0,0,0,4.696875,30.579981,"Other"
"137","JAM",3,-4.376965,0.3799198,0.1285729,2922,0.05,0.75,0,0,4.696875,34.846779,"Other"
"138","JAM",4,-2.2398601,1.529616,0.0079704,2601,0.05,0.25,0,0,4.696875,33.027699,"Other"
"139","JAM",5,-2.157485,2.3378971,0.2041072,2389,0.05,0,0,0,4.696875,35.833019,"Other"
"140","JAM",6,3.962513,2.3136151,NA,2218,0.05,0,0,0,4.696875,47.32423,"Other"
"141","JAM",7,3.056572,1.852656,NA,2545,0.05,0,0,0,4.696875,47.513248,"Other"
"142","KEN",2,5.98915,1.9004,0.9020833,586,0.83,0,1,0,5.5625,24.321131,"Sub-saharan Africa"
"143","KEN",3,0.338278,1.623956,0.781967,847,0.83,0.25,1,0,5.5625,30.37916,"Sub-saharan Africa"
"144","KEN",4,1.972854,2.2183521,0.7471299,898,0.83,0,1,0,5.5625,29.985189,"Sub-saharan Africa"
"145","KEN",5,-1.447291,2.376631,0.693974,860,0.83,0,1,0,5.5625,32.627171,"Sub-saharan Africa"
"146","KEN",6,2.623127,2.927494,0.7903143,857,0.83,0,1,0,5.5625,28.39455,"Sub-saharan Africa"
"147","KEN",7,-1.473197,2.9801171,1.302858,911,0.83,0.25,1,0,5.5625,29.293381,"Sub-saharan Africa"
"148","KOR",2,7.8028722,0.7310022,3.197093,1680,0,0,0,1,6.360938,23.85638,"East Asia"
"149","KOR",3,8.0327559,0.2045349,3.071913,2236,0,0.25,0,1,6.360938,34.114792,"East Asia"
"150","KOR",4,4.5225258,0.114563,3.0281651,3083,0,0.25,0,1,6.360938,31.452749,"East Asia"
"151","KOR",5,6.6518879,0.072884,3.2737629,3395,0,0,0,1,6.360938,32.52034,"East Asia"
"152","KOR",6,8.7896233,0.0306532,3.405859,4622,0,0,0,1,6.360938,35.166309,"East Asia"
"153","KOR",7,6.117754,0.0530342,3.3004129,6673,0,0,0,1,6.360938,36.83289,"East Asia"
"154","LKA",2,1.193782,0.6860721,0.7218894,1243,0.47,0,0,0,4.325521,26.318701,"Other"
