"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged","region"
"240","SEN",6,0.4526881,6.1975522,NA,1155,0.72,0,1,0,4.747396,28.338579,"Sub-saharan Africa"
"241","SEN",7,-1.733735,5.472322,NA,1145,0.72,0,1,0,4.747396,24.69278,"Sub-saharan Africa"
"242","SLE",2,1.773949,1.479864,1.0750951,1435,0.77,0.25,1,0,5.416667,13.13875,"Sub-saharan Africa"
"243","SLE",3,-0.9935253,0.7066458,0.5774533,1259,0.77,0,1,0,5.416667,14.9893,"Sub-saharan Africa"
"244","SLE",4,1.708994,1.427289,0.3218707,1065,0.77,0,1,0,5.416667,17.5597,"Sub-saharan Africa"
"245","SLE",5,-3.306699,2.0563409,-0.0540466,1074,0.77,0,1,0,5.416667,21.30386,"Sub-saharan Africa"
"246","SLE",6,-0.4612152,2.2669821,-0.1269212,881,0.77,0,1,0,5.416667,27.335979,"Sub-saharan Africa"
"247","SLE",7,-1.037119,2.250262,0.1849616,901,0.77,0,1,0,5.416667,20.281231,"Sub-saharan Africa"
"248","SLV",2,1.306769,0.36283,1.2151999,1810,0.17,0,0,0,2.583333,22.6415,"Other"
"249","SLV",3,1.962451,0.2959988,1.103682,1985,0.17,1.25,0,0,2.583333,26.06148,"Other"
"250","SLV",4,-6.3899622,0.7715114,0.8461943,2330,0.17,5.5,0,0,2.583333,29.37458,"Other"
"251","SLV",5,-1.754105,3.071244,0.8291903,1744,0.17,5,0,0,2.583333,29.769291,"Other"
"252","SLV",6,-0.4705314,3.8296549,1.477662,1813,0.17,1.25,0,0,2.583333,34.081421,"Other"
"253","SLV",7,3.4979551,2.860043,3.067255,1824,0.17,3.25,0,0,2.583333,28.536791,"Other"
"254","SOM",2,1.099986,1.865378,1.251217,921,0.08,0,1,0,3.733333,NA,"Sub-saharan Africa"
"255","SOM",3,3.887933,4.1901131,0.8817285,602,0.08,0,1,0,3.733333,20.31658,"Sub-saharan Africa"
"256","SOM",4,-2.691824,4.690887,0.2928199,921,0.08,0,1,0,3.733333,24.514151,"Sub-saharan Africa"
"257","SOM",5,-1.952669,5.4751878,NA,866,0.08,0,1,0,3.733333,23.572109,"Sub-saharan Africa"
"258","SOM",6,-0.0507204,6.2133098,NA,817,0.08,0,1,0,3.733333,14.68966,"Sub-saharan Africa"
"259","SOM",7,-3.509829,1.327472,NA,NA,0.08,0.25,1,0,3.733333,NA,"Sub-saharan Africa"
"260","SYR",2,1.806416,1.273542,0.8504394,2294,0.22,0,0,0,3.078125,31.916691,"Other"
"261","SYR",3,8.7839518,3.166425,0.6029479,3242,0.22,0,0,0,3.078125,37.215069,"Other"
"262","SYR",4,4.589139,3.51421,0.7092291,4158,0.22,1.25,0,0,3.078125,39.234089,"Other"
"263","SYR",5,-2.0793991,1.834789,NA,4457,0.22,0,0,0,3.078125,45.587391,"Other"
"264","SYR",6,-3.8598001,0.8308058,0.6900497,3752,0.22,0,0,0,3.078125,63.151779,"Other"
"265","SYR",7,4.342824,0.4928059,1.1787781,3897,0.22,0,0,0,3.078125,60.267349,"Other"
"266","TGO",2,0.2723668,4.64148,NA,618,0.71,0,1,0,4.346354,13.52808,"Sub-saharan Africa"
"267","TGO",3,0.2524474,4.2653079,-0.3371186,621,0.71,0,1,0,4.346354,16.982309,"Sub-saharan Africa"
"268","TGO",4,1.127876,4.3321881,0.3139075,704,0.71,0,1,0,4.346354,26.020361,"Sub-saharan Africa"
"269","TGO",5,-2.2750871,6.4450302,1.092057,654,0.71,0,1,0,4.346354,33.762348,"Sub-saharan Africa"
"270","TGO",6,-0.0610903,6.3949609,1.026484,657,0.71,0,1,0,4.346354,42.16695,"Sub-saharan Africa"
"271","TGO",7,-7.6580992,6.7430539,NA,641,0.71,0.5,1,0,4.346354,39.574039,"Sub-saharan Africa"
"272","THA",2,4.4580989,0.2555906,3.0978601,1526,0.66,0,0,1,6.258854,27.08473,"East Asia"
"273","THA",3,4.0510001,0.1835169,3.1567791,1641,0.66,0.25,0,1,6.258854,32.127041,"East Asia"
"274","THA",4,4.1260672,0.2738223,3.0053649,2025,0.66,0,0,1,6.258854,34.859879,"East Asia"
"275","THA",5,3.491029,0.2806438,3.067718,2195,0.66,0,0,1,6.258854,37.54694,"East Asia"
"276","THA",6,7.9657378,0.2718889,3.339731,2510,0.66,0,0,1,6.258854,50.578709,"East Asia"
"277","THA",7,7.0094948,0.1923186,3.610358,3580,0.66,0,0,1,6.258854,61.943661,"East Asia"
"278","TTO",2,1.918412,0.0801403,1.105913,6795,0.56,0,0,0,6.088542,24.51195,"Other"
"279","TTO",3,4.510417,0.0439714,1.723436,7918,0.56,0,0,0,6.088542,32.688919,"Other"
"280","TTO",4,5.5445561,0.0569762,1.32566,10249,0.56,0,0,0,6.088542,28.42424,"Other"
"281","TTO",5,-4.5245481,0.0713977,0.4591585,11368,0.56,0,0,0,6.088542,32.768631,"Other"
"282","TTO",6,-4.4785581,0.0788588,0.7881031,9637,0.56,0,0,0,6.088542,43.121651,"Other"
"283","TTO",7,-0.9493482,0.0446649,NA,7764,0.56,0,0,0,6.088542,48.934662,"Other"
"284","TUN",2,5.5763431,2.5386839,NA,1442,0.16,0,0,0,4.591146,33.40126,"Other"
"285","TUN",3,4.3073869,1.897194,NA,1880,0.16,0,0,0,4.591146,34.092609,"Other"
"286","TUN",4,3.7562251,1.1661201,NA,2295,0.16,0,0,0,4.591146,38.518681,"Other"
"287","TUN",5,1.4475991,0.842861,0.7557338,2597,0.16,0,0,0,4.591146,41.87151,"Other"
"288","TUN",6,-0.5978127,0.9772895,1.37569,2685,0.16,0,0,0,4.591146,44.838261,"Other"
"289","TUN",7,2.9426529,0.9005392,3.0755081,2910,0.16,0,0,0,4.591146,50.11808,"Other"
"290","TUR",2,3.108108,0.3092611,0.9435011,2202,0.25,0.25,0,0,5.263021,NA,"Other"
"291","TUR",3,5.0728378,0.108017,0.832398,2658,0.25,0.25,0,0,5.263021,NA,"Other"
"292","TUR",4,-0.9150029,0.2930093,0.3408191,3052,0.25,3.5,0,0,5.263021,NA,"Other"
"293","TUR",5,2.2992539,0.1882299,0.3279485,2868,0.25,0.25,0,0,5.263021,NA,"Other"
"294","TUR",6,3.0245359,0.0915711,1.017994,3299,0.25,0,0,0,5.263021,NA,"Other"
"295","TUR",7,3.7849009,0.3280785,2.398715,3741,0.25,3.25,0,0,5.263021,28.692089,"Other"
"296","TZA",2,NA,3.289309,NA,424,0.93,0.25,1,0,4.639063,21.821621,"Sub-saharan Africa"
"297","TZA",3,NA,4.863246,NA,508,0.93,0,1,0,4.639063,26.61768,"Sub-saharan Africa"
"298","TZA",4,NA,6.8122802,0.3089461,543,0.93,0,1,0,4.639063,28.6168,"Sub-saharan Africa"
"299","TZA",5,-0.1544912,5.6911778,0.2746189,466,0.93,0,1,0,4.639063,37.748981,"Sub-saharan Africa"
"300","TZA",6,0.669309,6.0233488,0.5254895,540,0.93,0,1,0,4.639063,38.216942,"Sub-saharan Africa"
"301","TZA",7,0.2476215,5.6105318,0.5561132,NA,0.93,0,1,0,4.639063,27.61726,"Sub-saharan Africa"
"302","URY",2,-0.1759859,0.1402518,0.5179537,4121,0.2,1,0,0,5.119271,21.600019,"Other"
"303","URY",3,3.1187179,0.0735911,0.3616727,4142,0.2,0,0,0,5.119271,21.677031,"Other"
"304","URY",4,3.9929581,0.0878941,0.6539875,4542,0.2,0,0,0,5.119271,23.41345,"Other"
"305","URY",5,-5.763607,0.0937653,0.3673187,4655,0.2,0,0,0,5.119271,39.244499,"Other"
"306","URY",6,3.7408481,0.1716129,0.4254149,4316,0.2,0,0,0,5.119271,51.570671,"Other"
"307","URY",7,2.545166,0.188582,2.614502,4602,0.2,0,0,0,5.119271,50.572731,"Other"
"308","VEN",2,0.8535412,0.0279336,1.239352,7753,0.11,0,0,0,5.559896,21.73992,"Other"
"309","VEN",3,1.1861939,0.018561,1.150041,7415,0.11,0.25,0,0,5.559896,24.94849,"Other"
"310","VEN",4,-3.627028,0.0168616,1.043915,8257,0.11,0,0,0,5.559896,43.49221,"Other"
"311","VEN",5,-3.625916,0.0207685,1.205152,6857,0.11,0,0,0,5.559896,36.516521,"Other"
"312","VEN",6,-0.9885767,0.0109373,1.192269,6382,0.11,0,0,0,5.559896,42.24044,"Other"
"313","VEN",7,3.072233,-0.0079729,2.9829891,6055,0.11,0.5,0,0,5.559896,36.312599,"Other"
"314","ZAR",2,1.748489,2.0875559,0.9379885,686,0.9,0,1,0,2.98125,24.26133,"Sub-saharan Africa"
"315","ZAR",3,-4.6452751,2.145139,0.3094764,693,0.9,0.25,1,0,2.98125,23.150669,"Sub-saharan Africa"
"316","ZAR",4,-3.414551,2.6296141,0.458565,518,0.9,0,1,0,2.98125,28.362261,"Sub-saharan Africa"
"317","ZAR",5,-1.532367,1.98408,0.6799242,482,0.9,0,1,0,2.98125,17.09428,"Sub-saharan Africa"
"318","ZAR",6,-1.874512,2.9045551,0.3731935,454,0.9,0,1,0,2.98125,24.14332,"Sub-saharan Africa"
"319","ZAR",7,-10.2339802,1.687945,-3.2388749,NA,0.9,0.25,1,0,2.98125,8.97333,"Sub-saharan Africa"
"320","ZMB",2,0.2300089,2.6599841,0.447275,1117,0.82,0,1,0,4.136458,19.21628,"Sub-saharan Africa"
"321","ZMB",3,-1.879963,2.4514561,0.3159183,1208,0.82,0,1,0,4.136458,26.812229,"Sub-saharan Africa"
"322","ZMB",4,-1.8312,4.0089502,0.1719034,1007,0.82,0,1,0,4.136458,30.64603,"Sub-saharan Africa"
"323","ZMB",5,-4.6004009,4.1372552,0.1412512,940,0.82,0,1,0,4.136458,29.344681,"Sub-saharan Africa"
"324","ZMB",6,-1.568086,6.15521,-0.3380052,786,0.82,0,1,0,4.136458,33.86657,"Sub-saharan Africa"
"325","ZMB",7,-2.579694,9.4195356,-0.1603761,689,0.82,0,1,0,4.136458,31.6731,"Sub-saharan Africa"
"326","ZWE",2,6.7195158,0.0359697,NA,1082,0.54,NA,1,0,4.4375,NA,"Sub-saharan Africa"
"327","ZWE",3,-3.5808799,0.0879854,0.8161532,1364,0.54,NA,1,0,4.4375,NA,"Sub-saharan Africa"
"328","ZWE",4,2.904177,1.0499049,0.4893152,1168,0.54,1,1,0,4.4375,NA,"Sub-saharan Africa"
"329","ZWE",5,-0.6336143,1.963412,0.4975752,1332,0.54,0.75,1,0,4.4375,33.40377,"Sub-saharan Africa"
"330","ZWE",6,0.5389957,2.084163,0.5161451,1178,0.54,0,1,0,4.4375,29.761089,"Sub-saharan Africa"
"331","ZWE",7,-2.0151441,2.9587979,0.4785629,1182,0.54,0,1,0,4.4375,30.27968,"Sub-saharan Africa"
